Date,ItemID,Quantity
2015-02-02,510090,29
2015-02-02,510063,138
2015-02-02,510010,107
2015-02-02,517009,44
2015-02-02,510030,418
2015-02-02,510034,74
2015-02-02,510061,36
2015-02-02,510084,40
2015-02-02,510056,37
2015-02-02,510050,225
2015-02-02,510070,180
2015-02-02,510082,40
2015-02-02,512014,20
2015-02-02,513276,110
2015-02-02,513084,144
2015-02-02,513084,144
2015-02-02,513084,134
2015-02-02,512136,113
2015-02-02,515058,4
2015-02-02,515097,54
2015-02-02,515058,10
2015-02-02,515058,64
2015-02-02,515058,64
2015-02-02,515058,64
2015-02-02,515125,35
2015-02-03,512259,50
2015-02-03,512259,50
2015-02-03,512259,50
2015-02-03,512259,50
2015-02-03,512259,50
2015-02-03,510091,8
2015-02-03,512259,50
2015-02-03,512167,63
2015-02-04,512265,50
2015-02-04,512265,50
2015-02-04,512265,50
2015-02-04,518506,80
2015-02-04,515122,13
2015-02-04,513190,42
2015-02-04,513237,37
2015-02-04,512283,41
2015-02-04,513178,35
2015-02-04,515039,29
2015-02-04,515122,24
2015-02-04,513205,239
2015-02-04,513084,51
2015-02-04,513176,76
2015-02-04,515079,38
2015-02-04,512324,38
2015-02-04,515076,12
2015-02-04,513204,42
2015-02-04,515109,34
2015-02-04,515115,36
2015-02-04,513204,140
2015-02-04,513206,65
2015-02-04,515111,84
2015-02-04,515107,38
2015-02-04,515110,150
2015-02-04,515110,23
2015-02-04,515105,28
2015-02-04,515121,44
2015-02-04,541001,100
2015-02-04,541001,57
2015-02-04,515122,26
2015-02-04,513226,7
2015-02-04,513226,7
2015-02-04,512265,50
2015-02-04,512265,50
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-05,513252,5
2015-02-05,513189,2
2015-02-05,541008,2
2015-02-05,541010,2
2015-02-05,HA590041,2
2015-02-05,512376,2
2015-02-05,BR930177K,2
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-05,512041,60
2015-02-06,HA590426,47
2015-02-06,HA590426,47
2015-02-06,HA590426,2
2015-02-06,510017,2
2015-02-06,510017,2
2015-02-06,510017,2
2015-02-09,513188,1
2015-02-09,513188,1
2015-02-09,515025,7
2015-02-09,515025,7
2015-02-09,512372,3
2015-02-09,512372,3
2015-02-09,512372,3
2015-02-09,510004,5
2015-02-09,510004,5
2015-02-10,515025,64
2015-02-10,515025,64
2015-02-10,513121HD,47
2015-02-10,513121HD,47
2015-02-10,513121HD,47
2015-02-11,512264,50
2015-02-11,512227,43
2015-02-11,512227,43
2015-02-11,512227,43
2015-02-11,513188,15
2015-02-11,513188,15
2015-02-11,513188,15
2015-02-11,513188,15
2015-02-11,512227,43
2015-02-12,513234,125
2015-02-12,513234,125
2015-02-12,513234,20
2015-02-12,512341,2
2015-02-12,515098,25
2015-02-12,512300,100
2015-02-12,513276,180
2015-02-12,513282,130
2015-02-12,515074,100
2015-02-12,541008,50
2015-02-12,515117,135
2015-02-12,515098,100
2015-02-12,515098,100
2015-02-12,515098,100
2015-02-12,515098,100
2015-02-12,515098,50
2015-02-12,515100,21
2015-02-12,515101,100
2015-02-12,515101,100
2015-02-12,515101,100
2015-02-12,515101,25
2015-02-12,515117,35
2015-02-12,515014,100
2015-02-12,515079,100
2015-02-12,515072,140
2015-02-12,515072,140
2015-02-12,515059,80
2015-02-12,515059,40
2015-02-12,515065,100
2015-02-12,513286,10
2015-02-12,513286,10
2015-02-12,513286,10
2015-02-13,515115,16
2015-02-13,515115,16
2015-02-13,515115,16
2015-02-13,515115,16
2015-02-13,515088,15
2015-02-13,515088,15
2015-02-13,515088,15
2015-02-13,513188,13
2015-02-13,513121HD,4
2015-02-13,513121HD,4
