ItemID,Date,Price
512003,10/3/2012,19.45
513190,10/3/2012,18.98
513237,10/3/2012,22.83
512144,10/3/2012,12.96
512194,10/3/2012,11.3
513166,10/3/2012,23.54
512200,10/3/2012,10.01
513310,10/3/2012,29.36
512293,10/3/2012,24.84
513121,10/5/2012,15.61
513188,10/5/2012,18.52
513084,10/5/2012,14.3
513124,10/5/2012,16.94
513157,10/5/2012,16.8
513020,10/5/2012,14.26
513186,10/5/2012,18.42
512022,10/5/2012,10.36
512188,10/5/2012,10.18
512237,10/5/2012,17.3
512304,10/5/2012,21.21
513020,10/5/2012,14.26
513084,10/5/2012,14.3
513098,10/5/2012,6.69
513100,10/5/2012,14.09
513115,10/5/2012,10.51
513121,10/5/2012,15.61
513124,10/5/2012,16.94
513157,10/5/2012,16.8
513172,10/5/2012,16.3
513179,10/5/2012,15.75
513186,10/5/2012,18.42
513188,10/5/2012,18.52
513189,10/5/2012,19.12
513203,10/5/2012,14.86
513204,10/5/2012,19.01
513205,10/5/2012,15.78
513206,10/5/2012,21.17
513234,10/5/2012,26.18
513257,10/5/2012,24.3
513310,10/5/2012,21.85
515061,10/5/2012,41.3
515065,10/5/2012,41.5
515107,10/5/2012,46.5
518505,10/5/2012,11.11
521002,10/5/2012,12.08
513188,10/5/2012,22.25
541001,10/5/2012,39.5
512012,10/5/2012,9.75
518514,10/5/2012,11.3
513234,10/5/2012,31.5
513224,10/5/2012,16.85
515061,10/5/2012,45.5
512180,10/5/2012,13.46
512221,10/5/2012,14.5
513124,10/5/2012,19
513098,10/5/2012,7.5
515107,10/5/2012,46.5
513310,10/5/2012,24.5
512352,10/8/2012,21.3
512280,10/8/2012,30.59
513256,10/8/2012,32.3
HA590338,10/8/2012,31.05
512403,10/8/2012,31.5
512370,10/8/2012,33.39
HA590250,10/8/2012,31.89
512271,10/9/2012,13.92
512305,10/9/2012,19.8
512181,10/9/2012,16.5
515099,10/9/2012,48.8
512253,10/9/2012,21.2
512293,10/9/2012,25.46
513265,10/9/2012,25.21
513253,10/9/2012,27.56
HA590046,10/9/2012,21.2
512284,10/9/2012,22.37
HA590002,10/9/2012,27.84
512350,10/9/2012,31.29
513100,10/9/2012,15.35
513203,10/9/2012,18.6
HA590250,10/9/2012,29
HA590125,10/9/2012,34.42
513214,10/9/2012,27.23
513155,10/9/2012,10.26
513139,10/9/2012,20.9
512363,10/9/2012,28.46
512419,10/9/2012,30.75
512384,10/9/2012,28.13
512387,10/9/2012,23.34
512407,10/9/2012,31.07
513299,10/9/2012,22.73
513295,10/9/2012,26.5
512262,10/10/2012,19.8
515120,10/10/2012,41.85
515121,10/10/2012,41.85
512363,10/10/2012,31.85
512383,10/11/2012,27.63
512187,10/15/2012,18.4
512188,10/15/2012,11.29
512200,10/15/2012,10.08
512202,10/15/2012,20.18
512206,10/15/2012,22.62
512208,10/15/2012,23.5
512209,10/15/2012,18.4
512225,10/15/2012,10.4
512241,10/15/2012,10.68
512280,10/15/2012,27.8
512310,10/15/2012,18.3
512319,10/15/2012,18.82
513105,10/15/2012,9.9
513228,10/15/2012,23.5
518509,10/15/2012,11.5
518514,10/15/2012,11.5
512207,10/15/2012,21.59
518515,10/15/2012,15.68
513186,10/15/2012,25.51
512163,10/15/2012,13.5
513234,10/15/2012,32.3
512009W/OABS,10/15/2012,16.6
513230,10/15/2012,26
512285,10/15/2012,26.8
512293,10/15/2012,23.83
513229,10/15/2012,35.5
512210,10/15/2012,16.1
512245,10/15/2012,19.5
513233,10/15/2012,31.36
513139,10/15/2012,23.6
515077,10/15/2012,63.61
513237,10/15/2012,26.27
513232,10/15/2012,31.36
512211,10/15/2012,16.38
512123,10/15/2012,14.78
513207,10/15/2012,31.4
512219,10/15/2012,15.18
512034,10/15/2012,9.5
512253,10/15/2012,26.6
512257,10/15/2012,26
512273,10/15/2012,30.6
513225,10/15/2012,25.19
513264,10/15/2012,20.35
